答案	模型預測	內文
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	把想做的事情都努力完成	0.47508111596107483 0.4955960810184479 0.6105356812477112 0.5887387990951538 0.4092661440372467
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	留下紀錄或整理、開一個個人的頻道	0.4860391616821289 0.4811428487300873 0.6023002862930298 0.5688491463661194 0.44060397148132324
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	親愛的自己 謝謝你麼堅強 勇敢面對自己的不足 你已經做得很好了 繼續加油。缺點一點都不可怕 只要我們能夠認真的加以對待它 不帶畏懼的正視它 它就會想維納斯的斷臂一樣 帶來意想不到的效果 甚至變成眾人賞識的美。其實 我們每一個人都應該學會把自己放在劣勢 從謙虛的角度重新出發 你一定會越來越好的	0.4769234359264374 0.4573293626308441 0.6237106919288635 0.5756167769432068 0.4310288727283478
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	1.孩子提早面對威權式上級 知道怎麼做才能解決當前困境	0.48447006940841675 0.4821595549583435 0.611646294593811 0.5595406889915466 0.42622509598731995
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	2訓練孩子短時間內的判斷與取捨	0.48724597692489624 0.47287383675575256 0.6083219051361084 0.5869828462600708 0.43669968843460083
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	3從孩子順從的反應 去反思自己對年紀尚小的孩子是否太過剝奪 進而調整自己的作法與步調	0.47872990369796753 0.4734545946121216 0.6199126839637756 0.5783630013465881 0.4224186837673187
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	4從調整步調中 發現到自己在工作與家庭與自己 三者間其實尚未平衡	0.4705323278903961 0.46945658326148987 0.6143195033073425 0.5928611159324646 0.4471624195575714
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	長輩為了保護你 才不讓你出門。讓我有點平衡 但有壓力	0.48780280351638794 0.4722253382205963 0.6023329496383667 0.5443472862243652 0.4288133382797241
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	為了想要出門 與長輩交易條件	0.47601890563964844 0.47328320145606995 0.5943989157676697 0.5890352129936218 0.42366766929626465
[0, 1, 0, 1, 1]	[0, 0, 1, 1, 0]	不能與同學一起 想辦法離家補習 減少爭執	0.4751637876033783 0.47449207305908203 0.5921774506568909 0.5686351656913757 0.4305191934108734
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	親愛的小雅 感謝你的勇敢 可以面對自己無法面對與朋友的約定 它一點都不可怕 只要我們能夠真的加以對待它 你會越來越好。	0.48015260696411133 0.46352893114089966 0.6170743107795715 0.5825098156929016 0.43012192845344543
[1, 0, 0, 0, 1]	[1, 0, 1, 1, 0]	勇敢的表達 不要害怕犯錯或說錯話	0.5086081027984619 0.46823054552078247 0.6124435663223267 0.5722517967224121 0.42638126015663147
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	相信自己是有能力的 要對自己有自信	0.4857347011566162 0.4766457676887512 0.589590847492218 0.557458221912384 0.4251940846443176
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	妳很在意別人對妳的看法 才會害怕表達展現自己 要相信自己 人沒有完美的	0.4831852316856384 0.4736466407775879 0.6090196967124939 0.5566680431365967 0.42947980761528015
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我是個謹言慎行的人	0.4930131435394287 0.46316227316856384 0.6130469441413879 0.5684858560562134 0.4554356336593628
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我對於自我的要求很高	0.4867670238018036 0.46762630343437195 0.6339876055717468 0.5931323170661926 0.44403669238090515
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	恐懼 讓我促成清醒機會 徹底跳脫 體驗奇點	0.4942331314086914 0.45853570103645325 0.6053959727287292 0.5774106383323669 0.4187503159046173
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	沒有主見 讓我變的更加摸索自己 知道心與身 淨化保養為根本	0.4817723035812378 0.4699142873287201 0.6070351004600525 0.5819493532180786 0.43449318408966064
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	不快樂 讓我更加清楚要的 也使我放下虛榮 下半生朝用心感受事物、透過創作分享深刻體驗為主軸	0.4803798496723175 0.4585552513599396 0.6168011426925659 0.5700087547302246 0.4244042932987213
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	逃避拖延 讓我現在知道 是逃不掉的 不如正面好好完整面對與計劃	0.4893335700035095 0.46592262387275696 0.6019232273101807 0.564063310623169 0.43110060691833496
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	拖延 讓我知道是缺熱情、或有地方卡關沒有正視 要好好注意改善	0.4937700033187866 0.47882774472236633 0.5931079983711243 0.5645747780799866 0.42645740509033203
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	太好了 缺點讓我深刻記住些新的正向洞見 並徹底落實、飛躍	0.48179522156715393 0.45965760946273804 0.6063731908798218 0.5754237771034241 0.43397417664527893
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我某種程度還算負責 因為雖然拖延 我還是會把該做的做好	0.4982762336730957 0.48707860708236694 0.6084177494049072 0.5719917416572571 0.42426300048828125
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我知道自己真正想要做什麼	0.47376927733421326 0.4920678734779358 0.5986087322235107 0.5699023008346558 0.44583114981651306
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	我有更多時間處理我真正想要做的事	0.49689045548439026 0.46549808979034424 0.6019725799560547 0.577018141746521 0.42444178462028503
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	我最不滿意自己的是無法避免對物質欲望的產生 看見想買的都不考慮自己的能力 因為會讓我在做借錢的想法 導致我不喜歡的結果發生 像是負責增加 欠銀行錢 每個人都有缺點 但換個角度來理解項缺點 也許 是我的獨特之處 又或者是從生活中實際去轉變它與今天的自己分享	0.48157522082328796 0.45410269498825073 0.6177394986152649 0.5731316804885864 0.4284627437591553
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	我嘗試轉化自己個缺點 看見銀行有一種消費 只要有消費它就幫妳投資進基金 讓妳在消費之餘也能做投資	0.4900960922241211 0.4691426753997803 0.6201613545417786 0.573602020740509 0.4363652467727661
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	另外將所攢的錢撥每月固定金額去投資基金 手邊沒太多錢就不會亂花	0.48608094453811646 0.45291250944137573 0.6105508804321289 0.5757949352264404 0.4348077178001404
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	我將項缺點發揮變成轉投資對於樣的變化 我認為一樣是花錢但我用在對的地方	0.4982861876487732 0.47585564851760864 0.619691789150238 0.5694637894630432 0.42016932368278503
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	親愛的自己 謝謝妳麼努力想要改變並且跳脫出來重新開始 勇於面自己的不足 妳已經做得很好了	0.48021847009658813 0.4720165431499481 0.6122885942459106 0.567806601524353 0.42699378728866577
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	繼續加油 缺點一點都不可怕 只要認真的對待它 不帶畏懼的正視它	0.4767387807369232 0.465599000453949 0.6176528334617615 0.5762896537780762 0.4251520037651062
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	親愛的自己 謝謝妳勇於面對並且正視它 不畏懼 它就會像維納斯的斷臂一樣 帶來意想不到的效果 甚至變成眾人賞識的美	0.47754397988319397 0.45548495650291443 0.6138767004013062 0.5732352137565613 0.43029138445854187
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	其實 我們每一個人都應該學會把自己放在劣勢 從謙虛的角度重新出發 妳一定會越來越好的	0.4855833649635315 0.46961599588394165 0.6206954717636108 0.5846176743507385 0.4291725754737854
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我很愛整潔 即使只有我跟小孩在家 也會讓家裡保持整潔舒適	0.4853963553905487 0.4688924551010132 0.6054860949516296 0.5673052072525024 0.4259548485279083
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我很自律 沒人理會也能讓自己走在自己的道路上	0.47554585337638855 0.4764537215232849 0.6127290725708008 0.5750049352645874 0.4375248849391937
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我做事有自己的節奏 配合適合自己的流程 一切都順暢	0.4864804446697235 0.46572309732437134 0.610521137714386 0.5670673251152039 0.4135093688964844
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	我很認真負責 能照顧自己和孩子	0.4776257574558258 0.4620056450366974 0.5994225144386292 0.5710068941116333 0.4357064664363861
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	飛蚊症我的眼睛向我發出求救訊號 讓我得以好好檢視我的用眼習慣	0.498258113861084 0.4561259150505066 0.6093813180923462 0.5704981088638306 0.42033225297927856
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	求好心切代表我心地善良 願意認真付出去幫助別人從我身上受益	0.4775621294975281 0.46491312980651855 0.6144876480102539 0.5824845433235168 0.429353803396225
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	緊張焦慮代表我很重視件事 把事情放在心上	0.4841122031211853 0.47832605242729187 0.6075820922851562 0.5944535732269287 0.42753902077674866
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	我雖然害怕 但我沒因為害怕而退縮或躲避 而是想辦法盡量透過學習用其他路徑和學習克服害怕 雖然其中不免有障礙 漸漸的覺得自己有自信了尊重也自然而生 力量與價值一點一滴建立	0.47972288727760315 0.4580020606517792 0.6190158128738403 0.5753685235977173 0.42870333790779114
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	也自己害怕衝突並無法解決問題 或是完成工作使命 反而是充實自己對季己有自信 才是可行的 隨時間一天一天滋長 -自己更有自信 其實實力也在工作執行和經驗中建立	0.4825952649116516 0.45935213565826416 0.6176303029060364 0.5801559090614319 0.42877840995788574
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	也我更相信自己 信任自己 支持自己 回到自己內心就不會過度在乎別人當然就不害怕	0.4786357283592224 0.47297611832618713 0.6092879772186279 0.5681911706924438 0.44306713342666626
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我是一個有彈性的人	0.4919050931930542 0.4544515311717987 0.6122215390205383 0.5537844300270081 0.41166403889656067
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	我可以接納不同的可能性	0.4894011616706848 0.47598159313201904 0.6221930980682373 0.5716570615768433 0.4191516637802124
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	我擁有允許心	0.4810003638267517 0.48107391595840454 0.5968814492225647 0.5925742387771606 0.43458813428878784
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	我可以知道那些人不再服務於我 從而斷捨離	0.4725273549556732 0.4581035077571869 0.6148024201393127 0.5632091760635376 0.43486225605010986
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我學到哪些人事是服務於我 進而了解人生方向	0.4909147024154663 0.4463837146759033 0.615837037563324 0.5808771848678589 0.4269929528236389
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我完全的為自己負責 不將控制權交給別人	0.4710369110107422 0.47019705176353455 0.6014996767044067 0.5660009384155273 0.4157836437225342
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	我體會到言語的力量 會考慮說出口的話的力量	0.47981491684913635 0.46706417202949524 0.6062883734703064 0.5722643136978149 0.42324185371398926
[0, 0, 1, 0, 1]	[0, 0, 1, 1, 0]	我延後完成任務是為了思考如何可以做的更好	0.49739545583724976 0.48006391525268555 0.6112678647041321 0.5603312849998474 0.43074119091033936
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我沒有立刻處理帳單是為了保持多些時間的現金流	0.4799526631832123 0.4611373841762543 0.6063543558120728 0.5736055374145508 0.4201980233192444
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	我有屬於自己的節奏	0.48663362860679626 0.4635915756225586 0.6243560910224915 0.5977122187614441 0.42752939462661743
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我有機會從現在轉換自己的想法與信念 從內在開始改變	0.4807473123073578 0.47822675108909607 0.5949327349662781 0.5654927492141724 0.42378830909729004
[0, 0, 0, 1, 0]	[1, 0, 1, 1, 0]	我正在前往我想成為的樣子上邁進	0.501723051071167 0.4781222939491272 0.6232370734214783 0.5919620990753174 0.4270128607749939
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我現在開始持續覺察自己、不要被別人的想法和信念所影響	0.4828300476074219 0.4730134606361389 0.6137482523918152 0.5594052076339722 0.43827471137046814
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	正在經歷生活大轉變的我（換工作、準備搬家）也藉此機會從內在心境和外在環境可以一起提升	0.48117849230766296 0.4682857096195221 0.6286342740058899 0.5782866477966309 0.42888692021369934
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我很有包容力 也很能轉換自己的想法、接受與自己不同的想法	0.4768783152103424 0.47075122594833374 0.6076039671897888 0.5814225673675537 0.4146953225135803
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	金魚腦 所以很多不愉快的事不會放在心上太久	0.4855523407459259 0.46809327602386475 0.609602153301239 0.5825805068016052 0.43139657378196716
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	大而化之 對別人要求不多 開心就好	0.4934299886226654 0.45930495858192444 0.6024179458618164 0.5691238641738892 0.44889751076698303
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	神經兮兮 所以會小心奕奕	0.4935498833656311 0.48046359419822693 0.608191192150116 0.6058070659637451 0.4416094422340393
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	討厭不確定性 所以對時間管理很注重 凡事先問deadline	0.4864286482334137 0.474534809589386 0.6060030460357666 0.5736955404281616 0.41940170526504517
[0, 1, 0, 1, 1]	[0, 1, 1, 1, 0]	沒有創意性 還好有技術	0.4965735971927643 0.5060269236564636 0.5899349451065063 0.5557720065116882 0.42640167474746704
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我是一個願意盡心盡力完成工作的人	0.48500949144363403 0.4669049084186554 0.6021497249603271 0.5650005340576172 0.42760610580444336
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我會在意事情的成果	0.4880024492740631 0.46422475576400757 0.612928569316864 0.580457329750061 0.4408281445503235
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我會願意反省 讓自己可把事情做得更好	0.49104371666908264 0.46611151099205017 0.5956012010574341 0.5756581425666809 0.43188902735710144
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	對自己不自信！	0.4681188762187958 0.4809958338737488 0.5937507748603821 0.6086616516113281 0.44624432921409607
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	依賴別人的照顧和提醒！	0.49786895513534546 0.46316349506378174 0.6085994243621826 0.5854431986808777 0.42646658420562744
[1, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	不想做的事情就用拖延來逃避！	0.493927925825119 0.47934529185295105 0.592643678188324 0.5939943194389343 0.4214681088924408
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	不知道該怎麼做時 也不會求援 怕麻煩別人！	0.48626917600631714 0.47549885511398315 0.6004865169525146 0.5537678599357605 0.4336867332458496
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	要求完美 害怕失敗 想等一切都準備好了才行動。	0.46966907382011414 0.45929843187332153 0.6022666096687317 0.5609295964241028 0.4261617064476013
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	覺得自己還有時間。	0.4926413893699646 0.4715518355369568 0.6054053902626038 0.5865711569786072 0.45871150493621826
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我總是可以完成自己設定的事情。	0.4892779588699341 0.46568793058395386 0.6094706654548645 0.5756081342697144 0.42975616455078125
[1, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我已經長大了 可以自己照顧和提醒自己！	0.48792797327041626 0.46428990364074707 0.6023298501968384 0.5755721926689148 0.4364722967147827
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	事情總有你喜歡和不喜歡的兩個面 用愉快的心情去做不喜歡的事情也可以發現彩蛋！	0.47873154282569885 0.4630482494831085 0.6147814393043518 0.5842229127883911 0.42592066526412964
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	尋求團隊支援 不會造成別人麻煩 還可以及早完成！	0.4885571300983429 0.46474385261535645 0.61165851354599 0.5579593181610107 0.426841139793396
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	沒有完美和失敗件事 每次全然投入的行動和結果 都是最好的呈現！	0.4765324294567108 0.4631462097167969 0.5926324725151062 0.5717378258705139 0.42207324504852295
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	常問若生命剩最後十分鐘 你想做什麼？你會怎麼做？	0.4803753197193146 0.48571786284446716 0.5893594622612 0.5685327053070068 0.42416879534721375
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	可以清楚自己喜歡或不喜歡 也是件好事。大悲大喜很累 但是很精彩很刺激。就算會有黯淡無光的時候 但你也有閃閃發亮時的樣子 都是你的靈魂藍圖選擇來體驗的極端值	0.4905061721801758 0.4628487229347229 0.6186613440513611 0.5808926820755005 0.436845600605011
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	因為執著 所以你有很強大的毅力和鬥志 你有更高的可能性去完成你的理想 你不會輕易被打倒	0.4841797649860382 0.47215548157691956 0.6220462918281555 0.5794433951377869 0.41927409172058105
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	你只是因為把那樣的過程解讀成失敗與浪費 所以你痛恨那段經歷。但就是樣的過程 成為了獨一無二的你。樣的淬煉和歷程 使得沒有人跟你一樣 你很特別 值得好好珍惜	0.48459672927856445 0.4590300917625427 0.617854654788971 0.5840080976486206 0.4254976511001587
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	其實我是一個很願意付出的人	0.49581074714660645 0.44999322295188904 0.6149304509162903 0.5862962007522583 0.43682393431663513
[0, 1, 0, 0, 0]	[0, 1, 1, 1, 0]	我很善良	0.4687143564224243 0.5003834962844849 0.6238617897033691 0.5782750248908997 0.422557532787323
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我對每一段感情都是認真且負責任的	0.4839082658290863 0.47099533677101135 0.5960041284561157 0.5797635912895203 0.4178900718688965
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我不會隨便跟別人起衝突 因為總能替別人設想	0.48971933126449585 0.47746455669403076 0.605309009552002 0.5571591854095459 0.43156835436820984
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我很有慈悲心 懂得憐憫別人	0.4823996126651764 0.4697574973106384 0.6116952896118164 0.5708547830581665 0.4301123321056366
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我不會預設立場 懂得傾聽別人的需要	0.47050589323043823 0.46153274178504944 0.5928298234939575 0.5616610646247864 0.413055419921875
[0, 1, 0, 1, 0]	[0, 1, 1, 1, 0]	心軟沒有什麼不好	0.46980801224708557 0.5002502799034119 0.6186351180076599 0.5580546259880066 0.4284873306751251
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	心軟讓你更有同理心	0.4792242646217346 0.47392258048057556 0.6146288514137268 0.5750652551651001 0.44448721408843994
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	心軟讓你更懂慈悲	0.48844483494758606 0.4814993143081665 0.6265028119087219 0.596153736114502 0.4507940411567688
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	以下列出我應該如何轉化缺點？	0.48364222049713135 0.4868673086166382 0.6206575632095337 0.5797380805015564 0.43340376019477844
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	我很認真看待問題 感謝過去特質曾經幫助過我 讓老師主管評斷我很細心	0.4878048896789551 0.46191921830177307 0.6186827421188354 0.566990852355957 0.436575323343277
